atom_index_0based,atom_index_1based,element,initial_distance_from_vacancy_A,final_distance_from_vacancy_A,radial_change_A,displacement_A,dx_A,dy_A,dz_A
102,103,O,8.939268677310016,8.93853310995932,-0.0007355673506967975,0.0010422602218854405,-0.00048529099999943117,0.00028040910000015054,-0.0008787319000021255
105,106,O,8.939268677310018,8.938523418215475,-0.0007452590945433712,0.001039706133885508,0.0004637415999993405,0.00028690580000041336,-0.0008852218000000477
101,102,O,8.939268509792118,8.938521809110476,-0.0007467006816419541,0.0010396624243286113,-1.6459599999031984e-05,-0.000543243199999926,-0.000886292200000969
38,39,In,6.6100015877438,6.6095426652582265,-0.00045892248557333204,0.0008597406661649524,5.629729999989863e-05,-3.333950000045014e-05,0.000857247400002005
68,69,Ga,9.374886884120365,9.375351290682948,0.0004644065625836191,0.0007871367727504896,-0.0006512541999999969,0.00036420679999958893,-0.00025061060000023836
64,65,Ga,9.374886740410469,9.375350720758615,0.0004639803481456539,0.0007862260559830794,-0.0006401604000000193,0.00038157500000012413,-0.0002504927000002769
63,64,Ga,9.374886572664494,9.3753540929744,0.0004675203099058223,0.000778759021740605,1.0978100000303315e-05,-0.0007347363000001025,-0.000257890800000556
66,67,Ga,9.374886572664494,9.375353000153659,0.00046642748916525534,0.0007786682191335919,-1.1017500000262107e-05,-0.0007350878999999665,-0.0002566098000000447
71,72,Ga,9.374886884120365,9.375354252161792,0.00046736804142710753,0.0007785472733086959,0.0006415705999999003,0.0003578854999994165,-0.00025776150000017593
70,71,Ga,9.374886740410469,9.375352980918185,0.0004662405077162646,0.0007785209170655709,0.0006306063999999653,0.0003776080000001163,-0.00025659810000000694
25,26,Zn,11.439436746448841,11.440150490822733,0.0007137443738916005,0.0007257671848127361,0.00021686599999972761,0.00012655600000015615,0.0006809483999974469
21,22,Zn,11.439436615543137,11.440149986144869,0.000713370601731711,0.0007253959101259178,-6.988999994449912e-07,-0.00025100900000012507,0.0006805829999971617
55,56,Ga,10.111719170445845,10.111104488068161,-0.0006146823776838062,0.0007209210905502905,-1.1572100000896314e-05,-7.888820000019943e-05,-0.0007164983999999706
60,61,Ga,10.111719103748582,10.11110467797738,-0.0006144257712019652,0.0007200450892479223,6.188620000151541e-05,4.987389999999999e-05,-0.0007156449000015377
54,55,Ga,10.11171910374858,10.111115978524973,-0.0006031252236073925,0.0007163452918213677,-7.723049999997939e-05,4.4721299999999995e-05,-0.0007107644000023521
22,23,Zn,11.439436746448841,11.440137906140766,0.0007011596919248575,0.0007122259578416303,-0.00021018069999984972,0.00012106619999969158,0.0006696512999977194
24,25,Zn,11.925945700851276,11.926072738187985,0.000127037336708824,0.0007031972540442175,0.0006020391000006156,-0.00034764729999995156,-0.00010571970000203559
26,27,Zn,11.92594601469871,11.926074652947005,0.00012863824829523196,0.0006865875966858237,6.917800000070639e-06,0.0006794384999995801,-9.857990000144458e-05
18,19,Zn,11.925945700851274,11.926074784854274,0.00012908400299949108,0.0006862450976827555,-0.0005845246000000634,-0.00034591370000014524,-9.801550000173412e-05
29,30,In,12.446046239460248,12.445596117222989,-0.00045012223725926503,0.0006464112763484842,0.00026385959999941254,0.00014252560000018222,0.0005726361000000039
30,31,In,12.446046014101224,12.445596423091859,-0.0004495910093655908,0.00064537141109338,8.166800000263398e-06,-0.0002990569999995279,0.0005718413000000074
32,33,In,12.446046182572358,12.445590805046676,-0.00045537752568236556,0.0006443933770600623,-0.00025181460000018446,0.00014504219999980614,0.0005751477999999956
81,82,O,10.131410572890331,10.131195606771652,-0.00021496611867988236,0.0006296399938075552,-0.00047419200000021057,0.0002740895,0.00031058560000027114
87,88,O,10.131410572890331,10.131185402307686,-0.00022517058264526213,0.0006225150254419858,0.0004564546000012399,0.00028971709999999997,0.0003086068000001528
82,83,O,10.131410639457963,10.131185321521373,-0.0002253179365894198,0.0006218905108652464,-2.2056100000317767e-05,-0.0005391566000001847,0.00030914640000047556
69,70,Ga,10.517767814872746,10.517279343860404,-0.0004884710123427283,0.0005821305573928832,-6.5979999999330185e-06,4.284000000052591e-06,0.000582077399999819
144,145,O,11.247045652055833,11.246626967463456,-0.00041868459237726086,0.00047785777967159415,0.00034330729999991483,-3.0505699999736236e-05,0.00033099479999987975
148,149,O,11.247045771844089,11.246628960036427,-0.00041681180766239834,0.0004759018855917565,0.0001973479000005017,-0.00028112710000064155,0.00032939940000007676
143,144,O,11.247045512232491,11.246637264382317,-0.00040824785017434806,0.00046306712106989267,0.0001543870000003515,0.00029253310000007055,0.0003240681999999364
151,152,O,11.247045771844089,11.24663872789395,-0.00040704395013868577,0.00046234758785798955,-0.00017619059999914076,-0.00028033270000056803,0.00032270069999991587
150,151,O,11.247045652055833,11.246644027567514,-0.00040162448831893016,0.00045594571840742326,-0.00032360669999920334,-3.480200000012895e-05,0.00031930239999987154
146,147,O,11.247045512232491,11.246644528851018,-0.00040098338147309676,0.00045576032401414986,-0.00013135250000002226,0.00029838699999996097,0.0003184795000000005
19,20,Zn,12.393371398987929,12.393533296111164,0.00016189712323466665,0.00043767424393755563,1.0701899999742407e-05,-0.0003807044000000546,0.00021565799999838833
23,24,Zn,12.393371231029294,12.393534313790061,0.00016308276076770767,0.00043729482243793223,0.0003344149000001736,0.00018003659999940051,0.00021674929999783725
20,21,Zn,12.393371202464456,12.393546604173926,0.00017540170946972466,0.00043655638190999256,-0.00032409579999996183,0.00018683560000044014,0.00022502410000087444
158,159,O,4.379134438563517,4.379367542896704,0.00023310433318712853,0.0004300344710874288,0.0003221272000017307,-0.0001874301999998157,0.00021455450000062624
152,153,O,4.379134438563516,4.37933962412776,0.00020518556424420353,0.0004127195719243863,-0.00027198299999999745,-0.00021805409999999184,0.00022094139999928402
160,161,O,4.379135293281997,4.379341214958976,0.00020592167697941477,0.000412348217800797,5.171760000014463e-05,0.00034490820000012676,0.00021998789999995699
126,127,O,13.889541308600213,13.889204128139125,-0.0003371804610878826,0.000383011186523342,1.4864399999779486e-05,-0.0001663419000003242,0.0003446838999996185
130,131,O,13.889541158733945,13.889203904264063,-0.00033725446988164265,0.00038276269161939357,0.00015070420000024018,6.920219999952072e-05,0.00034497330000050284
127,128,O,13.889541133246086,13.88921064846779,-0.0003304847782956699,0.0003732950783749071,-0.0001231424000004506,7.092829999927386e-05,0.00034518740000218735
28,29,In,12.894631964992138,12.894330395361356,-0.00030156963078198373,0.0003728608948681042,6.302000000320919e-06,-0.0001550831000004549,0.0003390202999999975
33,34,In,12.894631912689443,12.89433258883803,-0.0002993238514132912,0.0003712588072142457,0.00013770600000105775,7.247639999999999e-05,0.00033707170000000467
27,28,In,12.894631912689443,12.894333667281629,-0.00029824540781397957,0.0003668027925140325,-0.00012492389999964475,7.169589999999999e-05,0.00033733960000000164
